Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
2009,Diseases of Heart ,Male,Hispanic,1382,123.1,227.9
2009,Chronic Lower Respiratory Diseases ,Male,Hispanic,111,9.9,18.3
2009,Diseases of Heart ,Male,Asian and Pacific Islander,554,108.5,158.8
2008,Essential Hypertension and Renal Diseases ,Male,Non-Hispanic Black,134,15.8,20.9
2010,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Female,Other Race/ Ethnicity,,,
2014,Chronic Liver Disease and Cirrhosis ,Male,Hispanic,164,13.7,16.7
2010,Diabetes Mellitus ,Female,Hispanic,219,18,21.5
2010,Cerebrovascular Disease (Stroke),Female,Not Stated/Unknown,,,
2012,Diabetes Mellitus ,Male,Asian and Pacific Islander,76,14.1,18
2010,Diseases of Heart ,Female,Hispanic,1316,108.1,133.2
2009,Malignant Neoplasms (Cancer),Male,Non-Hispanic Black,1557,183.4,228.8
2009,Influenza (Flu) and Pneumonia ,Female,Hispanic,216,18,22.8
2013,Accidents Except Drug Posioning ,Male,Asian and Pacific Islander,63,11.4,12.8
2013,All Other Causes,Female,Non-Hispanic Black,1557,149.1,129.5
2010,Essential Hypertension and Renal Diseases ,Male,Non-Hispanic White,153,11.4,9.4
2011,Diseases of Heart ,Male,Asian and Pacific Islander,452,85.5,117.8
2008,Diseases of Heart ,Male,Non-Hispanic White,5503,410,342.3
2008,Malignant Neoplasms (Cancer),Female,Other Race/ Ethnicity,21,,
2010,Accidents Except Drug Posioning ,Male,Non-Hispanic White,271,20.2,18.4
2009,Chronic Lower Respiratory Diseases ,Female,Not Stated/Unknown,7,,
2008,Accidents Except Drug Posioning ,Male,Other Race/ Ethnicity,,,
2011,Accidents Except Drug Posioning ,Female,Non-Hispanic White,184,13,8.2
2007,Diseases of Heart ,Male,Hispanic,1327,121.7,238.4
2007,Intentional Self-Harm (Suicide),Male,Non-Hispanic White,187,14,12.7
2008,Malignant Neoplasms (Cancer),Female,Non-Hispanic Black,1756,167.6,156.3
2009,Diseases of Heart ,Male,Not Stated/Unknown,94,,
2010,Cerebrovascular Disease (Stroke),Male,Other Race/ Ethnicity,,,
2010,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Not Stated/Unknown,6,,
2010,Alzheimer's Disease ,Female,Hispanic,71,5.8,7.5
2011,Diabetes Mellitus ,Female,Non-Hispanic Black,410,39.2,34.7
2014,Essential Hypertension and Renal Diseases ,Female,Non-Hispanic White,180,12.7,6.7
2010,Diabetes Mellitus ,Male,Hispanic,187,16.4,27.3
2014,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Non-Hispanic White,314,23.4,21.4
2014,Essential Hypertension and Renal Diseases ,Female,Asian and Pacific Islander,29,4.6,5.1
2007,Septicemia ,Female,Non-Hispanic Black,89,8.5,8.1
2014,Intentional Self-Harm (Suicide),Male,Non-Hispanic White,204,15.2,13.4
2012,Cerebrovascular Disease (Stroke),Male,Other Race/ Ethnicity,7,,
2014,Influenza (Flu) and Pneumonia ,Female,Hispanic,218,17.2,18.8
2007,Diseases of Heart ,Female,Other Race/ Ethnicity,43,,
2014,All Other Causes,Female,Other Race/ Ethnicity,59,,
2013,Diabetes Mellitus ,Male,Other Race/ Ethnicity,17,,
2014,Cerebrovascular Disease (Stroke),Male,Hispanic,165,13.8,20.4
2008,Human Immunodeficiency Virus Disease (HIV),Male,Hispanic,222,20.1,22.7
2011,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Not Stated/Unknown,5,,
2010,Cerebrovascular Disease (Stroke),Male,Hispanic,140,12.3,21.4
